timestamp,symbol,opening,high,low,closing,volume,trades,vwap,home_notional,foreign_notional,bin_size
2015-10-10 00:00:00+00:00,XBTUSD,243.19,244.91,242.99,244.4,466508,149,243.998,1138.2719142000008,277737.17215008,1d
2015-10-11 00:00:00+00:00,XBTUSD,244.4,246.08,243.77,246.0,300969,142,245.076,737.6037151999997,180770.78198453996,1d
2015-10-12 00:00:00+00:00,XBTUSD,246.0,248.56,245.18,248.13,657289,188,246.464,1619.9808794999997,399275.64347010525,1d
2015-10-13 00:00:00+00:00,XBTUSD,248.13,248.41,245.7,246.38,710444,219,246.742,1752.9625074999985,432533.52607313695,1d
2015-10-14 00:00:00+00:00,XBTUSD,246.38,251.49,244.47,250.76,1284157,395,248.669,3193.2986645,794135.3279334059,1d
2015-10-15 00:00:00+00:00,XBTUSD,250.76,255.55,249.99,253.32,1196167,360,251.986,3014.1677595999936,759547.8449492935,1d
2015-10-16 00:00:00+00:00,XBTUSD,253.32,257.18,253.04,254.86,3508869,432,255.19,8954.273675500004,2285068.3088544016,1d
2015-10-17 00:00:00+00:00,XBTUSD,254.86,267.55,254.88,263.89,4632494,1338,262.635,12166.54044429999,3195747.91406717,1d
2015-10-18 00:00:00+00:00,XBTUSD,263.89,278.51,263.0,273.91,9988015,1765,269.93,26960.66488820006,7278356.806096141,1d
2015-10-19 00:00:00+00:00,XBTUSD,273.91,275.05,262.0,265.63,3216612,763,268.353,8631.875667699986,2316826.47487326,1d
2015-10-20 00:00:00+00:00,XBTUSD,265.63,270.69,261.55,265.35,2241882,625,265.23,5946.139692400001,1577146.1079642985,1d
2015-10-21 00:00:00+00:00,XBTUSD,265.35,274.49,264.68,271.85,2770928,1013,268.625,7443.409461500003,1999627.1120371488,1d
2015-10-22 00:00:00+00:00,XBTUSD,271.85,273.45,263.88,268.37,2806074,1190,267.67,7511.012027600027,2010591.896524182,1d
2015-10-23 00:00:00+00:00,XBTUSD,268.37,280.0,267.65,276.9,2263003,715,275.151,6226.668304500005,1713458.0558457382,1d
2015-10-24 00:00:00+00:00,XBTUSD,276.9,282.38,275.47,279.8,1898945,744,278.949,5297.085716900001,1477644.73034757,1d
2015-10-25 00:00:00+00:00,XBTUSD,279.8,286.9,278.35,285.39,2753916,905,282.253,7772.997009700004,2194011.0686280606,1d
2015-10-26 00:00:00+00:00,XBTUSD,285.39,299.51,282.9,285.79,5663816,1651,290.884,16475.11675949999,4793381.787770724,1d
2015-10-27 00:00:00+00:00,XBTUSD,285.79,292.29,281.01,289.32,3596017,924,285.923,10281.844664900013,2939942.4031352936,1d
2015-10-28 00:00:00+00:00,XBTUSD,289.32,305.32,286.89,296.51,4671955,1576,295.18,13790.667344899986,4071259.2467919746,1d
2015-10-29 00:00:00+00:00,XBTUSD,296.51,310.36,296.6,306.99,4231430,1662,303.953,12861.547218100028,3909606.4136985494,1d
2015-10-30 00:00:00+00:00,XBTUSD,306.99,322.0,303.14,316.6,5642264,1889,313.133,17667.78498599998,5533545.116855099,1d
2015-10-31 00:00:00+00:00,XBTUSD,316.6,336.81,300.0,333.0,7526523,2708,327.324,24636.11146890006,8065343.28984111,1d
2015-11-01 00:00:00+00:00,XBTUSD,333.0,338.7,307.53,317.73,5842767,1759,324.745,18974.109317100003,6165125.470266306,1d
2015-11-02 00:00:00+00:00,XBTUSD,317.73,335.0,314.0,331.38,2599899,1312,323.196,8402.781971699987,2716580.3751363433,1d
2015-11-03 00:00:00+00:00,XBTUSD,331.38,380.0,326.95,371.98,3855966,2911,346.339,13354.728128100049,4631941.379518047,1d
2015-11-04 00:00:00+00:00,XBTUSD,371.98,440.0,365.18,422.0,6102534,4136,397.441,24253.96291700004,9659266.247607337,1d
2015-11-05 00:00:00+00:00,XBTUSD,422.0,558.0,382.0,424.0,5738641,6073,469.848,26962.882336000013,12756637.869104708,1d
2015-11-06 00:00:00+00:00,XBTUSD,424.0,472.73,375.0,402.0,3820602,4258,410.745,15692.930800799979,6460819.238345634,1d
