날짜,종가
2010-01-04,0.1290884783797095
2010-01-05,0.1261007702008583
2010-01-06,0.1340571669814945
2010-01-07,0.12221999707724196
2010-01-08,0.1286121770758346
2010-01-11,0.12799515038672404
2010-01-12,0.1304416070838993
2010-01-13,0.11570332923786375
2010-01-14,0.12347570051473
2010-01-15,0.1321519617659952
2010-01-18,0.13755365155312105
2010-01-19,0.1367092992417066
2010-01-20,0.13896090540547845
2010-01-21,0.1430906542106658
2010-01-22,0.12270712341075019
2010-01-25,0.11504841494503582
2010-01-26,0.0972628912571647
2010-01-27,0.09084364868448813
2010-01-28,0.10001786129889523
2010-01-29,0.078367802031858
2010-02-01,0.08053822047337844
2010-02-02,0.07478471722316327
2010-02-03,0.08518215818615793
2010-02-04,0.08593991026050429
2010-02-05,0.05925621221388078
2010-02-08,0.05150007848146476
2010-02-09,0.061080229707128675
2010-02-10,0.0608799666589086
2010-02-11,0.07586722018651515
2010-02-12,0.07362102653756009
2010-02-16,0.0776208749871452
2010-02-17,0.09189908907375632
2010-02-18,0.08852167982809844
2010-02-19,0.07375092689316232
2010-02-22,0.09172047608480316
2010-02-23,0.09269472875181994
2010-02-24,0.08399681744128762
2010-02-25,0.07029232992525303
2010-02-26,0.07411897790070188
2010-03-02,0.08523628333432542
2010-03-03,0.0891982441801934
2010-03-04,0.0869033378978874
2010-03-05,0.09576362465292232
2010-03-08,0.10954929989120832
2010-03-09,0.10997688856173227
2010-03-10,0.11074005315089541
2010-03-11,0.10769821982387662
2010-03-12,0.11101067889173333
2010-03-15,0.10384450927434408
2010-03-16,0.10303804456664689
2010-03-17,0.121900658703053
2010-03-18,0.11773843480896518
2010-03-19,0.12365972601849984
2010-03-22,0.11638530610477538
2010-03-23,0.12133775716211015
2010-03-24,0.12089934346195264
2010-03-25,0.12489377939672108
2010-03-26,0.1299436557207575
2010-03-29,0.12684228473075432
2010-03-30,0.13128054688049706
2010-03-31,0.12730776100499563
2010-04-01,0.14155350000270617
2010-04-02,0.1438917064035462
2010-04-05,0.14470358362606006
2010-04-06,0.1452989602559036
2010-04-07,0.1455749985115583
2010-04-08,0.14946118414999154
2010-04-09,0.14442213285558858
2010-04-12,0.13675259936024065
2010-04-13,0.13690956228992668
2010-04-14,0.1503001239465892
2010-04-15,0.1549440616593687
2010-04-16,0.14984547270198145
2010-04-19,0.13404634195186094
2010-04-20,0.1409364733135956
2010-04-21,0.1569304545971193
